Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2018,2018 HWC,Adequate Health Insurance,South Carolina,24,75.3,0.02,,,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2016
2018,2018 HWC,Adolescent Well-Visit,South Carolina,15,81.6,0.48,,,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2016
2018,2018 HWC,Adverse Childhood Experiences,South Carolina,37,25.3,0.9,,,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2016
2018,2018 HWC,Alcohol Consumption During Pregnancy,South Carolina,,7.4,-0.22,10.8,4.1,"CDC, Pregnancy Risk Assessment Monitoring System; California Department of Public Health, Maternal and Infant Health Assessment",2015
2018,2018 HWC,All Determinants-Children,South Carolina,41,-0.075,-0.075,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,All Determinants-HWC,South Carolina,38,-0.179,-0.179,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,All Determinants-Infants,South Carolina,22,0.004,0.004,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,All Determinants-Women,South Carolina,39,-0.108,-0.108,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,Baby-Friendly Facility,South Carolina,7,33.4,0.81,,,"CDC, Breastfeeding Report Card",2016
2018,2018 HWC,Behaviors-Children,South Carolina,35,-0.023,-0.023,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,Behaviors-HWC,South Carolina,39,-0.106,-0.106,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,Behaviors-Infants,South Carolina,41,-0.05,-0.05,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,Behaviors-Women,South Carolina,41,-0.033,-0.033,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,Breastfed,South Carolina,43,18.6,-1.06,23.7,14.4,"CDC, National Immunization Survey",2014
2018,2018 HWC,Cervical Cancer Screening - Women,South Carolina,19,81.6,0.58,84.6,78.5,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,"Cervical Cancer Screening - Women - $25-$49,999",South Carolina,16,85.1,0.57,90.6,79.7,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,"Cervical Cancer Screening - Women - $50-$74,999",South Carolina,0,87.6,0,95.1,80.1,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,"Cervical Cancer Screening - Women - $75,000 or More",South Carolina,13,92.3,0.57,96.7,87.8,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,Cervical Cancer Screening - Women - Aged 21-24,South Carolina,0,69.7,0,78.8,60.6,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,Cervical Cancer Screening - Women - Aged 25-34,South Carolina,15,86.5,0.84,90.2,82.7,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,Cervical Cancer Screening - Women - Aged 35-44,South Carolina,29,82.7,-0.43,87.1,78.3,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,Cervical Cancer Screening - Women - American Indian/Alaskan Native,South Carolina,0,,0,102.6,92.8,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,Cervical Cancer Screening - Women - Asian,South Carolina,0,,0,82.3,16.6,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,Cervical Cancer Screening - Women - Black,South Carolina,0,83.6,0,88.4,78.7,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,Cervical Cancer Screening - Women - College Grad,South Carolina,21,88.9,0.27,92.9,84.9,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,Cervical Cancer Screening - Women - Hawaiian/Pacific Islander,South Carolina,0,,0,0,0,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,Cervical Cancer Screening - Women - High School Grad,South Carolina,29,78.8,-0.04,85.3,72.3,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,Cervical Cancer Screening - Women - Hispanic,South Carolina,0,,0,91,60.8,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,"Cervical Cancer Screening - Women - Less than $25,000",South Carolina,24,79.4,0.03,85.6,73.2,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,Cervical Cancer Screening - Women - Less than High School,South Carolina,0,79,0,92,66,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,Cervical Cancer Screening - Women - Multiracial,South Carolina,0,,0,0,0,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,Cervical Cancer Screening - Women - Other Race,South Carolina,0,,0,0,0,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,Cervical Cancer Screening - Women - Rural,South Carolina,0,83.9,0,92.2,75.6,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,Cervical Cancer Screening - Women - Some College,South Carolina,19,86.5,0.4,91.1,82,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 HWC,Cervical Cancer Screening - Women - Suburban,South Carolina,0,78.1,0,87.6,68.6,"CDC, Behavioral Risk Factor Surveillance System",2016
